id,geopos,apartments,price,year
1269,"{'type': 'Point', 'coordinates': [37.510331, 55.542905]}",118,280734.0,2000
1270,"{'type': 'Point', 'coordinates': [37.511544, 55.543516]}",311,273883.0,2001
1271,"{'type': 'Point', 'coordinates': [37.516422, 55.544148]}",132,253490.0,2001
1272,"{'type': 'Point', 'coordinates': [37.516323, 55.542936]}",175,250847.0,2001
1273,"{'type': 'Point', 'coordinates': [37.516494, 55.543633]}",69,223698.0,2000
1274,"{'type': 'Point', 'coordinates': [37.517949, 55.543628]}",95,183780.0,2000
1275,"{'type': 'Point', 'coordinates': [37.518282, 55.542767]}",263,223536.0,2000
1276,"{'type': 'Point', 'coordinates': [37.519737, 55.54263]}",169,293412.0,2001
1277,"{'type': 'Point', 'coordinates': [37.522243, 55.541988]}",322,179206.0,2003
1278,"{'type': 'Point', 'coordinates': [37.521201, 55.541805]}",331,228409.0,2003
1279,"{'type': 'Point', 'coordinates': [37.519279, 55.541825]}",376,228855.0,2003
1280,"{'type': 'Point', 'coordinates': [37.517374, 55.541392]}",222,250356.0,2003
1281,"{'type': 'Point', 'coordinates': [37.517132, 55.539441]}",191,298107.0,2003
1282,"{'type': 'Point', 'coordinates': [37.5175, 55.540592]}",247,219416.0,2003
1283,"{'type': 'Point', 'coordinates': [37.519395, 55.539864]}",105,220956.0,2003
1284,"{'type': 'Point', 'coordinates': [37.521462, 55.540363]}",310,280868.0,2003
1285,"{'type': 'Point', 'coordinates': [37.523645, 55.540939]}",186,249716.0,2004
1286,"{'type': 'Point', 'coordinates': [37.528325, 55.538224]}",29,205030.0,2004
1287,"{'type': 'Point', 'coordinates': [37.531631, 55.538855]}",107,226801.0,1999
1288,"{'type': 'Point', 'coordinates': [37.531595, 55.537704]}",153,180363.0,1999
1289,"{'type': 'Point', 'coordinates': [37.532709, 55.538519]}",160,200705.0,2000
1290,"{'type': 'Point', 'coordinates': [37.532116, 55.537246]}",85,229679.0,1996
1291,"{'type': 'Point', 'coordinates': [37.532646, 55.536471]}",29,222558.0,1996
1292,"{'type': 'Point', 'coordinates': [37.531657, 55.536176]}",140,312213.0,1996
1293,"{'type': 'Point', 'coordinates': [37.530139, 55.536385]}",73,229118.0,1998
1294,"{'type': 'Point', 'coordinates': [37.529322, 55.537149]}",122,261676.0,1999
1295,"{'type': 'Point', 'coordinates': [37.529394, 55.537821]}",97,250090.0,1999
1296,"{'type': 'Point', 'coordinates': [37.528442, 55.537668]}",34,179969.0,2004
1297,"{'type': 'Point', 'coordinates': [37.527741, 55.536043]}",129,280330.0,1999
1298,"{'type': 'Point', 'coordinates': [37.52837, 55.536563]}",68,202724.0,1999
1299,"{'type': 'Point', 'coordinates': [37.527696, 55.535162]}",49,322646.0,2000
1300,"{'type': 'Point', 'coordinates': [37.529466, 55.534729]}",76,195311.0,1996
1301,"{'type': 'Point', 'coordinates': [37.528253, 55.534189]}",131,236252.0,2001
